name,longitude,latitude,city,street,phone,website
Попова Кула,41.4109967,22.2261756,None,None,None,None
Винарија Грков,41.3157114,22.1279401,None,None,None,None
Domaine Lepovo,41.5180203,22.0341129,None,None,None,None
Камник,42.0078222,21.4902127,None,None,None,None
Vinarija Stobi,41.5817262,21.9378856,None,None,None,https://www.stobiwinery.mk/
Kartal Winery Винарската визба КАРТАЛ,41.9624602,21.4763261,None,ул.1519 бр.7,None,None
Zaharchev Winery and Distillery,41.436124,22.0048024,Кавадарци,ул.Косовска бр.16 1430,070 253 103,https://www.zaharchev.mk/
Chateau Sopot,41.777774,21.7409905,Veles,None,+389 78 663 300,None
Бовин винарија,41.4943704,22.0915153,None,ул.Индустриска 1440,43365322,http://www.bovin.com.mk
Tikves,41.9940075,21.4394921,None,None,None,None
Kamnik,41.9950477,21.4272901,None,None,None,None
Winery Temov,42.0001818,21.4358622,None,None,None,None
Сковин,41.9956025,21.4310531,None,None,None,None
Stobi Winery,42.0000999,21.4209535,None,None,None,None
Château Sopot Winery,41.7774687,21.740898,None,None,None,None
monastery winery,41.1848848,20.877133,None,None,+389 78474656,https://monasterywinery.com
