name,longitude,latitude,city,street,phone,website,workHours, Description
Попова Кула,41.4109967,22.2261756,Demir Kapija,Wine Boulevard No.1,076 432 630,https://popovakula.com.mk/,08:00-23:30,"Винарска визба „Попова Кула“ — винарска визба во близина на градот Демир Капија, во рамките на Тиквешкото Виногорје. Визбата започнала да се гради во 2004 година и спаѓа во редот на сосема нови винарски визби во Македонија, изградени целосно од почеток.

Винарницата е единствен производител во светот на вино од автохтоната македонска сорта на грозје „станушина“. Покрај оваа сорта, винарницата е една од малкуте преостанати винарници на Балканот, која произведува вино од сортите: „прокупец“, „жилавка“ и „темјаника“.

Воедно, винарската визба „Попова Кула“ прва направила вино „бела станушина“ од нивната автохтона и една од најстарите сорти во светот."
Винарија Грков,41.3157114,22.1279401,Krnjevo,None,023 092 641,www.facebook.com/pages/Winery-Grkov/87250734470,None,"

Винарија Грков се наоѓа во подножјето на планината Кожуф, во селото Крњево на 26 километри од Кавадарци.

Винарија Грков се наоѓа во подножјето на планината Кожуф, во селото Крњево на 26 километри од Кавадарци.

Винаријата има капацитет од 1200.000 литри вино со можност за зголемување на капацитетот во иднина.

Сопствениците го започнаа процесот на градење на винаријата во 2004-та година, а повеќето лозови насади се засадени две години подоцна.

Секое вино е направено од сопствено грозје, од сопствена плантажа која самите ја одгледуваат. На самото брзо винаријата има ресторан наменет за дегусација со прекрасен поглед кон виновата лозја.

Вината на Грков созреваат во прекрасна винска визна која е отворена за посета. ВО 2007-та година, винската визба Грков започна и огранско производство на вино, што ја направи својата винарија прва во Македонија која произведува вино од органско грозје.

Винаријата се наоѓа на 550 метри надморска височина. Теренот на Крњево, како и климата овозможуваат совршени услови за висококвалитетно грозје како што е Пино Ноар, Мерлот, Каберне Совињон.

Насадите се од првокласен увозен материјал.

Квалитетот на грозјето зависи од карактеристичната клима која е мешавина од медитеранската клима под влијание на Егејското море на југ и континенталната клима која е под влијание на планината Кожуф од север."
Domaine Lepovo,41.5180203,22.0341129,Negotino,None,02 318 1741,https://tikves.com.mk/chateaux-domaines/domaine-lepovo/,None,"Лепово, тероар чие ветре ги милува своите лози, а медитеранската клима дава чувство на дремка под силното сонце на песокливата „плажа“. Вината се сочни, полни, овошни со свилени танини, спремни да ја продолжат летаргичната дремка во дабовите буриња, за на крајот да го покажат сиот свој раскош."
Камник,42.0078222,21.4902127,Skopje,Kamnik bb Skopje MK 1000,02 252 1789,https://chateaukamnik.com/index_mk.php,08:00-16:00,"Сé започнува со сосема личната фасцинација од уметноста на правење вино
која отсекогаш ја имал еден вински ентузијаст од Скопје, основачот на винаријата.
Нештата понатамy се одвиваат природно, како модерна експресија на автентичната
македонска традиција на правење вино. Од колекционирање вина од разни вински региони во светот,
преку првите насадени лози и нивната трансформација во современо лозје, преку поставувањето на темелите
на она што ќе биде бутик-винарија во вид на замок, првите барик буриња во неа, до првите полнења,
а потоа многубројни шишиња наше вино насекаде низ светот, некои од нив стануваат добитници на
престижни светски признанија; за тимот од посветени професионалци, мисијата продолжува.
Нашите вина се креации кои ја оживуваат нашата приказна комбинирајќи ги минатото и сегашноста,
раскажувајќи сега за раскошот од вкусови и мириси од светот на вината Камник. "
Vinarija Stobi,41.5817262,21.9378856,Gradsko,Avtopat b.b.Градско 1400,078 221 427,https://www.stobiwinery.mk/,10:00-18:00,"На само 80 километри од Скопје, сместена помеѓу вечното сонце и непрегледните насади со винова лоза, се крие најдобро чуваната тајна на винскиот занает во Тиквешијата – Винарија Стоби. Местото коешто го поврзува Медитеранот со континенталните предели на Балканот, укотвено крај митските реки Аксиос и Еригон, покрај кое некогаш чекореле римски легии, рицари крстоносци, отомански освојувачи и армии од светските војни, денеска е центар во кој се среќаваат Стариот и Новиот свет на виното.

Винарија Стоби е горд сведок на еволуцијата на винската традиција на овие простори – од кантароси за вино во кое уживале жителите на Стоби, преку мешините во кои истото се пренесувало до големите антички метрополи, се до модерните инокс садови и софистицираните дабови буриња во кои денес виното се произведува и зрее. Сместена во ултрамодерно здание, урбано и реминисцентно на архитектонските чуда на Le Corbusier, Винарија Стоби ширум ги отвора вратите за сите посетители кои сакаат да научат нешто повеќе за историјата на овој вински регион, процесот на производство на вино, начинот на негово конзумирање и комбинирање со различни видови на храна."
Kartal Winery Винарската визба КАРТАЛ,41.9624602,21.4763261,Skopje,ул.1519 бр.7,070 242 419,https://kartal.com.mk/mk/pocetna/,12:00-16:00,"Сместена во главниот град на Македонија, Скопје, со својот мал капацитет од 100.000 литри на годишно ниво, најсовремена опрема за преработка и зреење на виното и грижливо одбраното сортно грозје од скопското виногорје, нашата винарска визба Ви овозможува висок квалитет и уживање во секоја капка вино. Спојот на традицијата и науката е идеална комбинација која нашите енолози ја претвораат во совршенство. Одлично избалансираните вина, сортните одлики, овошните тонови и љубовта која им е дадена го заслужуваат вашето внимание.

Од својата производна линија, винаријата „Картал“ има 5 свои вина, од кои 3 црвени и 2 бели вина, за кои грозјето се обезбедува од Тиквешкото вингорје. Целото производство обезбедува пласман во повеќе супермаркети во Македонија, а еден дел се извезува во странство и тоа во САД, Канада, Јапонија и во договори со винарски продавници во Западна Европа "
Zaharchev Winery and Distillery,41.436124,22.0048024,Кавадарци,ул.Косовска бр.16 1430,070 253 103,https://www.zaharchev.mk/,14:00-22:00,"Винаријата се наоѓа во Кавадарци, во близина на спортската сала, а регистрирана е во 2020-та година, кога измените на законот за винарии станаа реалност и им овозможија на малите производители конечно ја добија шансата да прераснат во нешто повеќе.

Фамилијата Захарчев отсекогаш проиведувала вино и ракија, а денеска нивото произвоство на вино е исклучиво од балкански автохтони сорти како Станушина, Пловдина, Темјаника, Вранец и Прокупец. Вранецот и Прокупецот покрај класичната верзија го произведуваат и во барикна верзија која стои до 15 месеци во дабови буриња.

Веќе втора година по ред винаријата има органско производство во преод што значи дека нема употреба на пестициди, хербидици и инсектициди при одлегувањето на грозјето."
Chateau Sopot,41.777774,21.7409905,Veles,"MK, Велес 1400",+389 78 663 300,https://www.facebook.com/chateausopotmacedonia/,11:00-21:00,"Винарија Шато Сопот Доо е една од нај живописните винарии во Македонија, лоцирана во срцето на Велешкиот вински регион, во близина на самиот автопат кој ги спојува Скопје и Велес. Се работи за релативно нова винарија, основана во 2006 година, со добиена концесија на 30 години врз 100 хектари лозје, со четири видови на грозје (Шардоне, Ризлинг, Темјаника, Каберне Совињон).

Во склоп на винаријата е отворена продавница, која нуди можност нивните вина со врвен квалитет да можете да ги купите со секоја посета на винаријата со промотивни цени.  Дополнителна удобност нуди и самиот ресторан, создаден во посебен и уникатен стил, со капацитет од 400 гости, во кој можете покрај вкусот на врвните вина да уживате и во мирисот и вкусот на беспрекорните кулинарски деликатеси."
Бовин винарија,41.4943704,22.0915153,Negotino,ул.Индустриска 1440,43365322,http://www.bovin.com.mk,08:00-16:00,"Кога ќе помислиме на Винарија Бовин дефинитивно мислиме на премиум бренд, на вина со полн и богат вкус кои никого не оставаат рамнодушен. Вина кои ја збогатуваат секоја дружба,  кои ја разубавуваат секоја трпеза! Перфекционизам  е вистинскиот збор, со кој би ги опишале вината  кои доаѓаат од оваа винарија. Бовин постои веќе 22 години со фокус на квалитет, а не на квантитет, создавајќи ексклузивни македонски вински брендови. Винаријата денес извезува во 37 земји, на 5 континенти, произведувајќи ги трите најскапи вина во Македонија Erа, My Way и A’gupka."
Tikves,41.9940075,21.4394921,Skopje,ул. 810 no. 2,02 318 1700,https://tikves.com.mk/,08:00-16:00,"Традицијата на винарството во Македонија и Тиквешијата е вековна. Уште од времињата на Римската Империја е запишано дека во Македонија се создаваат чудесно моќни вина со мирис на југот, вкус на песната и насмевките на луѓето што живеат на овие простори."
Kamnik,41.9950477,21.4272901,Skopje,ул. Kamnik bb,02 252 1789,https://chateaukamnik.com/index_mk.php,08:00-16:00,"Сé започнува со сосема личната фасцинација од уметноста на правење вино која отсекогаш ја имал еден вински ентузијаст од Скопје, основачот на винаријата. Нештата понатамy се одвиваат природно, како модерна експресија на автентичната македонска традиција на правење вино. Од колекционирање вина од разни вински региони во светот, преку првите насадени лози и нивната трансформација во современо лозје, преку поставувањето на темелите на она што ќе биде бутик-винарија во вид на замок, првите барик буриња во неа, до првите полнења, а потоа многубројни шишиња наше вино насекаде низ светот, некои од нив стануваат добитници на престижни светски признанија; за тимот од посветени професионалци, мисијата продолжува. Нашите вина се  реации кои ја оживуваат нашата приказна комбинирајќи ги минатото и сегашноста, раскажувајќи сега за раскошот од вкусови и мириси од светот на вината Камник."
Winery Temov,42.0001818,21.4358622,Skopje,"ул. Arhiepiskop Angelarij 7, Stara Carsija",077 893 119,https://www.facebook.com/TemovVinoteka/,None
Сковин,41.9956025,21.4310531,Skopje,ул. 15th Korpus No. 3,02 314 5701,https://www.facebook.com/SkovinVinarija/,08:00-16:00,"Сковин е винарска визба со капацитет од 17 милиони литри вино, коe гo пласира на 18 светски пазари, на 5 континенти. Вината на Сковин имаат добиено 53 меѓународни награди и признанија за квалитет на многубројни вински саеми и фестивали, а годинава Сковин се стекна и со признанието Супербренд на Македонија. Најголем дел од своето вино, Сковин го пласира во регионот и на пазарот на Европската Унија. Други знaчајни пазари на Сковин се и оние на Далечниот Исток, како Русија, Јапонија и Кина, со кои има воспоставено долгорочна соработка, а извезеното количество во овие земји од година во година сè повеќе се зголемува. Вината на Сковин можат да се најдат и во прекуокеанските земји, како Австралија и САД."
Stobi Winery,42.0000999,21.4209535,Gradsko,ул. Avtopat b.b,078 221 427,https://www.facebook.com/StobiWinery/,10:00-16:00,"Најдоброто грозје го заслужува само најдоброто. Само од комбинацијата на знаење, искуство пренесувано со генерации, модерна технологија и многу љубов и страст, може да се создаде најдоброто и највкусното вино. Вина доволно уникатни да го задоволат и наjпребирливиот вкус, а толку едноставни за секој да ги посака. Вино кое ја буди СТРАСТА ЗА ЖИВОТОТ!"
Château Sopot Winery,41.7774687,21.740898,Veles,None,078 663 300,https://www.facebook.com/chateausopotmacedonia/,11:00-18:00,"Винарија Шато Сопот Доо е една од нај живописните винарии во Македонија, лоцирана во срцето на Велешкиот вински регион, во близина на самиот автопат кој ги спојува Скопје и Велес. Се работи за релативно нова бутик винарија, основана во 2006 година, со добиена концесија на 30 години врз 100 хектари лозје, со четири видови на грозје (Шардоне, Ризлинг, Темјаника, Каберне Совињон). Годишниот капацитет на винаријата е 80 000 литри вино и годишно производство до 35 000 литри. Во моментов винаријата ги шири своите капацитети со можност за годишно производство до 150 000 литри. Во склоп на винаријата е отворена продавница, која нуди можност нашите вина со врвен квалитет да можете да ги купите со секоја посета на нашата винарија со промотивни цени. Исто така може да уживате во дегустација на нашите вина во рустичниот и уникатен стил кој го нуди самата винарска визба. Дополнителна удобност нуди и самиот ресторан, создаден во посебен и уникатен стил, со капацитет од 400 гости, во кој можете покрај вкусот на врвните вина да уживате и во мирисот и вкусот на беспрекорните кулинарски деликатеси. Во изградба е и хотелот кој располага со шест соби и четири апартмани, обезбеден со најсофистициран начин на функционирање кој нуди огромна удобност и комфорност. Целата оваа еногастрономска понуда на квалитет и традиција ја надополнува и специфичноста на природата која ја доловува историјата на овој вински регион."
monastery winery,41.1848848,20.877133,Ohrid,None,+389 78474656,https://monasterywinery.com,12:00-17:00,"Манастирска винарија се наоѓа во селото Опеница, на само 10 километри од Охрид. Веднаш под манастирот Св. Кузман и Дамјан, опкружен со свежиот воздух на прекрасната шума и мала река што тече покрај него. Ова е место каде секој може да ужива во мирот, природата и, се разбира, нашите вкусни вина."
